"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"","S-1124F-A","","Schnitthöhe1130mm|Schnitttiefe250mm|Gehrung30-90grad|Gewicht komplett11.4000000000000kg|Stromversorgung18V|GrundplatteSiebdruckplatte","","","'https://www.nexmart.com/media/catalog/ampshare/front-ampshare.jpg/normal.jpg","0.28","0.67","1.4","11.4","","",1,"","","","","","",""
"","S-1310-A","","Schnitthöhe1130mm|Schnitttiefe310mm|Gehrung30-90grad|Gewicht komplett13.6000000000000kg|Stromversorgung18V|GrundplatteBirke Mehrschicht, lackiert","","","'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-1.jpg/normal.jpg","0.28","0.67","1.4","13.6","","",1,"","","","","","",""
"","S-1310RW-A","","Schnitthöhe1130mm|Schnitttiefe310mm|Gehrung45– 90 – 135grad|Gewicht komplett14.6000000000000kg|Stromversorgung18V|GrundplatteSiebdruckplatte","","","'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-3.jpg/normal.jpg","0.28","0.67","1.4","14.6","","",1,"","","","","","",""
"","S-1310SD-A","","Schnitthöhe1130mm|Schnitttiefe310mm|Gehrung30-90grad|Gewicht komplett13.6000000000000kg|Stromversorgung18V|GrundplatteSiebdruckplatte","","","'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-2.jpg/normal.jpg","0.28","0.67","1.4","13.6","","",1,"","","","","","",""
"","S-UL55-22-K","","Schnitthöhe550mm|Schnitttiefe220mm|Gehrung45-90grad|Gewicht komplett3.90000000000000kg|Stromversorgung18V|GrundplatteEdelstahl","","","'https://www.nexmart.com/media/catalog/ampshare/888_ul55-22_k_front_2.png/normal.png","0.19","0.45","0.86","3.9","","",1,"","","","","","",""
"","S-UL55-22-KA","","Schnitthöhe550mm|Schnitttiefe220mm|Gehrung45-90grad|Gewicht komplett3.90000000000000kg|Stromversorgung18V|GrundplatteEdelstahl","","","'https://www.nexmart.com/media/catalog/ampshare/ul55-22-ka-front-1.png/normal.png","0.19","0.45","0.86","3.9","","",1,"","","","","","",""
"","A010.00115","","Spaltkraft10Ton|Schnittbreite330mm|Schnitthöhe20-120 mmmm|Messer4-seitig verwendbar|Auflageplatten1x feste Auflageplatte, 1 x gefederte Auflageplatte|Geeignet fürPflasterklinker, Granitpflaster, Betonpflaster, Verbundsteine","","","'https://www.nexmart.com/media/catalog/ampshare/el33-1__1_.png/normal.png","0.76","0.45","0.55","66.0","","",1,"","","","","","",""
"0 601 6B4 000","06016B4000","","TitelAkku-Tauchsäge BITURBO GKT 18V-52 GC Professional|Neuheit bis01.08.2020|SOL Datum01.05.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)444mm|Verpackungsabmessungen (Höhe)254mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 444 x 254mm|Akkuspannung18,0 V|Sägeblattbohrungs-20mm|Leerlaufdrehzahl, von2.800min-1|Leerlaufdrehzahl, bis zu5.500min-1|Leerlaufdrehzahl2.800 – 5.500min-1|Gewicht exkl. Akku4,1kg|Sägeblattdurchmesser140mm|Führungsplatte (Länge)305mm|Führungsplatte (Breite)169mm|Führungsplatte305 x 169mm|Neigungswinkel, von-1°|Neigungswinkel, bis47°|Neigungswinkel-1 - 47°|Werkzeugabmessungen (Breite)209mm|Werkzeugabmessungen (Länge)374mm|Werkzeugabmessungen (Höhe)234mm|Schnitttiefe ohne Führungsschiene (90°)52mm|Schnitttiefe mit Führungsschiene (90°)46mm|Schnitttiefe ohne Führungsschiene (45°)32mm|Schnitttiefe mit Führungsschiene (45°)32mm|Unterteilung der ProduktkategorienAkku-Tauchsäge BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-298552-117_jpg/detail.jpg/normal.jpg","0.254","0.36","0.444","4.032","","main_product",1,"","","","","","",""
"0 601 9J4 002","06019J4002","","TitelAkku-Winkelschleifer GWS 18V-10 Professional|Neuheit bis01.08.2020|Verpackungsabmessungen (Breite)160mm|Verpackungsabmessungen (Länge)395mm|Verpackungsabmessungen (Höhe)135mm|Verpackungsabmessungen (Breite x Länge x Höhe)160 x 395 x 135mm|Akkuspannung18,0 V|Leerlaufdrehzahl, bis zu9.000min-1|Leerlaufdrehzahl9.000min-1|SchleifspindelgewindeM14|Gewicht exkl. Akku2,1kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-318277-117_jpg/detail.jpg/normal.jpg","0.135","0.16","0.395","1.424","","main_product",1,"","","","","","",""
"0 601 9H6 000","06019H6000","","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 C Professional|Neuheit bis15.11.2020|Verpackungsabmessungen (Breite)100mm|Verpackungsabmessungen (Länge)150mm|Verpackungsabmessungen (Höhe)100mm|Verpackungsabmessungen (Breite x Länge x Höhe)100 x 150 x 100mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,2kg|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl9.800min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,2kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-292812-117_jpg/detail.jpg/normal.jpg","0.1","0.1","0.15","2.3","","main_product",1,"","","","","","",""
"0 601 9H6 100","06019H6100","","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 SC Professional|Neuheit bis15.11.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)440mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 440 x 155mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,2kg|Leerlaufdrehzahl, von3.400min-1|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl3.400 – 9.800min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg","0.155","0.36","0.44","1.745","","main_product",1,"","","","","","",""
"0 601 9H6 300","06019H6300","","TitelAkku-Winkelschleifer BITURBO GWS 18V-15 SC Professional|Neuheit bis15.11.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)442mm|Verpackungsabmessungen (Höhe)152mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 442 x 152mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,3kg|Leerlaufdrehzahl, von2.600min-1|Leerlaufdrehzahl, bis zu7.400min-1|Leerlaufdrehzahl2.600 – 7.400min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2,3kg|Scheiben-150mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg","0.152","0.36","0.442","1.78","","main_product",1,"","","","","","",""
"0 601 9H6 400","06019H6400","","TitelAkku-Winkelschleifer BITURBO mit X-LOCK GWX 18V-15 C Professional|Neuheit bis01.07.2020|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)450mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 450 x 155mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,3kg|Leerlaufdrehzahl, bis zu9.800min-1|Leerlaufdrehzahl9.800min-1|Gewicht exkl. Akku2,3kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer BITURBO mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-304190-117_jpg/detail.jpg/normal.jpg","0.155","0.36","0.45","1.865","","main_product",1,"","","","","","",""
"0 601 7B0 100","06017B0100","","TitelAkku-Winkelschleifer mit X-LOCK GWX 18V-10 Professional|Neuheit bis01.08.2020|Verpackungsabmessungen (Breite)135mm|Verpackungsabmessungen (Länge)390mm|Verpackungsabmessungen (Höhe)70mm|Verpackungsabmessungen (Breite x Länge x Höhe)135 x 390 x 70mm|Akkuspannung18,0 V|Leerlaufdrehzahl, bis zu9.000min-1|Leerlaufdrehzahl9.000min-1|Gewicht exkl. Akku2kg|Scheiben-125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer mit X-LOCK","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-329425-117_jpg/detail.jpg/normal.jpg","0.07","0.135","0.39","1.545","","main_product",1,"","","","","","",""
